set,name,variant,condition,rarity,price
2025-mega-pack-yugioh,2025 Mega-Pack Tin Case,Normal,Sealed,,208.12
2025-mega-pack-yugioh,Dominus Impulse,1st Edition,Moderately Played,Prismatic Secret Rare,29.0
2025-mega-pack-yugioh,Mulcharmy Purulia,1st Edition,Near Mint,Prismatic Secret Rare,38.22
2025-mega-pack-yugioh,Dominus Purge,1st Edition,Heavily Played,Prismatic Secret Rare,24.99
2025-mega-pack-yugioh,2025 Mega-Pack Tin,Normal,Sealed,,29.51
2025-mega-pack-yugioh,Mulcharmy Fuwalos,1st Edition,Damaged,Prismatic Secret Rare,15.0
2025-mega-pack-yugioh,Infinite Impermanence,1st Edition,Near Mint,Starlight Rare,15.93
2025-mega-pack-yugioh,Fiendsmith's Tract,1st Edition,Lightly Played,Prismatic Secret Rare,13.77
2025-mega-pack-yugioh,2025 Mega-Pack Bundle,Normal,Sealed,,12.85
2025-mega-pack-yugioh,S:P Little Knight,1st Edition,Moderately Played,Starlight Rare,9.99
2025-mega-pack-yugioh,Primite Lordly Lode,1st Edition,Lightly Played,Prismatic Secret Rare,10.4
2025-mega-pack-yugioh,The Black Goat Laughs,1st Edition,Lightly Played,Prismatic Secret Rare,9.13
2025-mega-pack-yugioh,Pot of Greed,1st Edition,Damaged,Starlight Rare,2.0
2025-mega-pack-yugioh,Queen of the Blazing Domain,1st Edition,Lightly Played,Prismatic Secret Rare,6.72
2025-mega-pack-yugioh,Lacrima the Crimson Tears,1st Edition,Moderately Played,Prismatic Secret Rare,5.0
2025-mega-pack-yugioh,Iron Thunder,1st Edition,Lightly Played,Prismatic Secret Rare,5.46
2025-mega-pack-yugioh,Nightmare Throne,1st Edition,Lightly Played,Prismatic Secret Rare,4.91
2025-mega-pack-yugioh,Fiendsmith's Requiem,1st Edition,Near Mint,Prismatic Secret Rare,5.51
2025-mega-pack-yugioh,Deception of the Sinful Spoils,1st Edition,Lightly Played,Prismatic Secret Rare,4.21
2025-mega-pack-yugioh,Fire King Courtier Ulcanix,1st Edition,Lightly Played,Ultra Rare,2.08
2025-mega-pack-yugioh,Bystial Druiswurm,1st Edition,Near Mint,Starlight Rare,4.88
2025-mega-pack-yugioh,Bystial Magnamhut,1st Edition,Near Mint,Starlight Rare,3.83
