set,name,variant,condition,rarity,price
duel-devastator-yugioh,Duel Devastator Box,Normal,Sealed,,74.79
duel-devastator-yugioh,Super Polymerization,1st Edition,Damaged,Ultra Rare,1.0
duel-devastator-yugioh,Ash Blossom & Joyous Spring,1st Edition,Heavily Played,Ultra Rare,0.79
duel-devastator-yugioh,Called by the Grave,1st Edition,Heavily Played,Ultra Rare,0.69
duel-devastator-yugioh,Saryuja Skull Dread,1st Edition,Heavily Played,Ultra Rare,0.92
duel-devastator-yugioh,Effect Veiler,1st Edition,Heavily Played,Ultra Rare,0.5
duel-devastator-yugioh,Ghost Belle & Haunted Mansion,1st Edition,Heavily Played,Ultra Rare,0.59
duel-devastator-yugioh,"Gameciel, the Sea Turtle Kaiju",1st Edition,Heavily Played,Ultra Rare,1.08
duel-devastator-yugioh,D.D. Crow,1st Edition,Damaged,Ultra Rare,0.15
duel-devastator-yugioh,Dimensional Barrier,1st Edition,Damaged,Ultra Rare,0.35
duel-devastator-yugioh,Royal Decree,1st Edition,Heavily Played,Ultra Rare,0.55
duel-devastator-yugioh,Artifact Lancea,1st Edition,Heavily Played,Ultra Rare,0.47
duel-devastator-yugioh,Vanity's Fiend,1st Edition,Heavily Played,Ultra Rare,0.13
duel-devastator-yugioh,Denko Sekka,1st Edition,Lightly Played,Ultra Rare,0.18
duel-devastator-yugioh,Ghost Ogre & Snow Rabbit,1st Edition,Heavily Played,Ultra Rare,0.25
duel-devastator-yugioh,Decode Talker,1st Edition,Moderately Played,Ultra Rare,0.05
duel-devastator-yugioh,Number 101: Silent Honor ARK,1st Edition,Heavily Played,Ultra Rare,0.3
duel-devastator-yugioh,Ally of Justice Catastor,1st Edition,Damaged,Ultra Rare,0.28
duel-devastator-yugioh,Typhoon,1st Edition,Damaged,Ultra Rare,0.1
duel-devastator-yugioh,Solemn Strike,1st Edition,Heavily Played,Ultra Rare,0.26
duel-devastator-yugioh,Lost Wind,1st Edition,Damaged,Ultra Rare,0.09
duel-devastator-yugioh,There Can Be Only One,1st Edition,Damaged,Ultra Rare,0.28
duel-devastator-yugioh,"Brionac, Dragon of the Ice Barrier",1st Edition,Lightly Played,Ultra Rare,0.47
duel-devastator-yugioh,Black Rose Dragon,1st Edition,Moderately Played,Ultra Rare,0.49
duel-devastator-yugioh,Different Dimension Ground,1st Edition,Damaged,Ultra Rare,0.25
duel-devastator-yugioh,Dinowrestler Pankratops,1st Edition,Heavily Played,Ultra Rare,0.25
duel-devastator-yugioh,Book of Eclipse,1st Edition,Moderately Played,Ultra Rare,0.14
duel-devastator-yugioh,Ghost Sister & Spooky Dogwood,1st Edition,Moderately Played,Ultra Rare,0.23
duel-devastator-yugioh,Scarlight Red Dragon Archfiend,1st Edition,Heavily Played,Ultra Rare,0.38
duel-devastator-yugioh,Cosmic Cyclone,1st Edition,Damaged,Ultra Rare,0.25
duel-devastator-yugioh,Stardust Spark Dragon,1st Edition,Heavily Played,Ultra Rare,0.25
duel-devastator-yugioh,Vermillion Dragon Mech,1st Edition,Moderately Played,Ultra Rare,0.21
duel-devastator-yugioh,Red Blossoms from Underroot,1st Edition,Moderately Played,Ultra Rare,0.27
duel-devastator-yugioh,Majesty's Fiend,1st Edition,Damaged,Ultra Rare,0.06
duel-devastator-yugioh,Spell Canceller,1st Edition,Heavily Played,Ultra Rare,0.14
duel-devastator-yugioh,Wave-Motion Cannon,1st Edition,Damaged,Ultra Rare,0.18
duel-devastator-yugioh,"Trishula, Dragon of the Ice Barrier",1st Edition,Damaged,Ultra Rare,0.01
duel-devastator-yugioh,Red Reboot,1st Edition,Damaged,Ultra Rare,0.1
duel-devastator-yugioh,Wiretap,1st Edition,Heavily Played,Ultra Rare,0.17
duel-devastator-yugioh,Mind Control,1st Edition,Heavily Played,Ultra Rare,0.15
duel-devastator-yugioh,Abyss Dweller,1st Edition,Moderately Played,Ultra Rare,0.1
duel-devastator-yugioh,Tornado Dragon,1st Edition,Heavily Played,Ultra Rare,0.1
duel-devastator-yugioh,Topologic Bomber Dragon,1st Edition,Moderately Played,Ultra Rare,0.17
duel-devastator-yugioh,Clear Wing Fast Dragon,1st Edition,Moderately Played,Ultra Rare,0.15
duel-devastator-yugioh,Anti-Spell Fragrance,1st Edition,Moderately Played,Ultra Rare,0.08
duel-devastator-yugioh,Heavy Storm Duster,1st Edition,Lightly Played,Ultra Rare,0.19
duel-devastator-yugioh,LANphorhynchus,1st Edition,Lightly Played,Ultra Rare,0.11
duel-devastator-yugioh,Silent Graveyard,1st Edition,Lightly Played,Ultra Rare,0.16
duel-devastator-yugioh,Forbidden Apocrypha,1st Edition,Moderately Played,Ultra Rare,0.05
duel-devastator-yugioh,Ghost Reaper & Winter Cherries,1st Edition,Moderately Played,Ultra Rare,0.19
duel-devastator-yugioh,"Castel, the Skyblaster Musketeer",1st Edition,Near Mint,Ultra Rare,0.16
duel-devastator-yugioh,Metaphys Horus,1st Edition,Lightly Played,Ultra Rare,0.12
duel-devastator-yugioh,Inspector Boarder,1st Edition,Moderately Played,Ultra Rare,0.08
duel-devastator-yugioh,Underclock Taker,1st Edition,Heavily Played,Ultra Rare,0.05
duel-devastator-yugioh,Decode Talker Extended,1st Edition,Moderately Played,Ultra Rare,0.03
duel-devastator-yugioh,"Gaia Saber, the Lightning Shadow",1st Edition,Moderately Played,Ultra Rare,0.05
duel-devastator-yugioh,Gate Blocker,1st Edition,Lightly Played,Ultra Rare,0.03
