set,name,variant,condition,rarity,price
duel-power-yugioh,Duel Power Box Set,Normal,Sealed,,79.73
duel-power-yugioh,Bond Between Teacher and Student,Unlimited,Damaged,Ultra Rare,0.4
duel-power-yugioh,Platinum Gadget,Unlimited,Moderately Played,Ultra Rare,3.0
duel-power-yugioh,Duel Power Booster Pack,Normal,Sealed,,14.96
duel-power-yugioh,Dark Cavalry,1st Edition,Heavily Played,Ultra Rare,6.99
duel-power-yugioh,Infinite Impermanence,1st Edition,Heavily Played,Ultra Rare,3.99
duel-power-yugioh,Gouki Cage Match,1st Edition,Moderately Played,Ultra Rare,0.25
duel-power-yugioh,Card of Demise,1st Edition,Heavily Played,Ultra Rare,0.85
duel-power-yugioh,The Winged Dragon of Ra - Immortal Phoenix,1st Edition,Moderately Played,Ultra Rare,1.8
duel-power-yugioh,Duel Power Promo Pack,Normal,Sealed,,4.15
duel-power-yugioh,Nekroz of Brionac,Unlimited,Moderately Played,Ultra Rare,0.83
duel-power-yugioh,Elemental HERO Grandmerge,1st Edition,Damaged,Ultra Rare,0.5
duel-power-yugioh,Ash Blossom & Joyous Spring,1st Edition,Heavily Played,Ultra Rare,2.75
duel-power-yugioh,Magician of Chaos,Unlimited,Moderately Played,Ultra Rare,1.27
duel-power-yugioh,Quintet Magician,Unlimited,Moderately Played,Ultra Rare,1.0
duel-power-yugioh,Toon Dark Magician Girl,1st Edition,Heavily Played,Ultra Rare,1.75
duel-power-yugioh,Dark Magic Twin Burst,1st Edition,Heavily Played,Ultra Rare,0.91
duel-power-yugioh,Aromaseraphy Jasmine,1st Edition,Damaged,Ultra Rare,1.5
duel-power-yugioh,Number 39: Utopia Double,Unlimited,Moderately Played,Ultra Rare,1.0
duel-power-yugioh,Blue-Eyes Chaos MAX Dragon,1st Edition,Damaged,Ultra Rare,1.25
duel-power-yugioh,Linkuriboh,Unlimited,Damaged,Ultra Rare,0.39
duel-power-yugioh,The Winged Dragon of Ra - Sphere Mode,1st Edition,Heavily Played,Ultra Rare,0.5
duel-power-yugioh,Predaplant Spider Orchid,1st Edition,Near Mint,Ultra Rare,0.28
duel-power-yugioh,Hot Red Dragon Archfiend Abyss,1st Edition,Damaged,Ultra Rare,0.56
duel-power-yugioh,Ghost Ogre & Snow Rabbit,Unlimited,Damaged,Ultra Rare,0.3
duel-power-yugioh,Aromage Jasmine,1st Edition,Heavily Played,Ultra Rare,1.08
duel-power-yugioh,Cyber Dragon Nachster,Unlimited,Near Mint,Ultra Rare,0.81
duel-power-yugioh,Qliphort Genius,1st Edition,Lightly Played,Ultra Rare,0.36
duel-power-yugioh,Eternal Soul,Unlimited,Near Mint,Ultra Rare,0.53
duel-power-yugioh,Evenly Matched,1st Edition,Damaged,Ultra Rare,0.69
duel-power-yugioh,Stardust Dragon,Limited,Heavily Played,Ultra Rare,0.5
duel-power-yugioh,Ghost Belle & Haunted Mansion,1st Edition,Heavily Played,Ultra Rare,0.59
duel-power-yugioh,Dark Magician,Limited,Heavily Played,Ultra Rare,0.85
duel-power-yugioh,Crystal Wing Synchro Dragon,Unlimited,Lightly Played,Ultra Rare,0.7
duel-power-yugioh,Divine Serpent Geh,1st Edition,Heavily Played,Ultra Rare,0.2
duel-power-yugioh,Zaborg the Mega Monarch,1st Edition,Damaged,Ultra Rare,0.38
duel-power-yugioh,Odd-Eyes Advance Dragon,Unlimited,Heavily Played,Ultra Rare,0.37
duel-power-yugioh,Photon Advancer,Unlimited,Near Mint,Ultra Rare,0.62
duel-power-yugioh,Super Quantal Mech King Great Magnus,1st Edition,Heavily Played,Ultra Rare,0.2
duel-power-yugioh,Trickstar Magical Laurel,1st Edition,Damaged,Ultra Rare,0.36
duel-power-yugioh,Star Seraph Scepter,1st Edition,Lightly Played,Ultra Rare,0.04
