set,name,variant,condition,rarity,price
flames-of-destruction-yugioh,Flames of Destruction Booster Box,Normal,Sealed,,84.99
flames-of-destruction-yugioh,Infinite Impermanence,1st Edition,Damaged,Secret Rare,9.24
flames-of-destruction-yugioh,Flames of Destruction - Special Edition,Normal,Sealed,,18.95
flames-of-destruction-yugioh,Knightmare Gryphon,1st Edition,Near Mint,Secret Rare,2.82
flames-of-destruction-yugioh,Ghost Belle & Haunted Mansion,1st Edition,Damaged,Secret Rare,2.22
flames-of-destruction-yugioh,World Legacy Succession,1st Edition,Heavily Played,Ultra Rare,2.0
flames-of-destruction-yugioh,F.A. Dawn Dragster,Unlimited,Damaged,Rare,1.04
flames-of-destruction-yugioh,Knightmare Goblin,1st Edition,Damaged,Ultra Rare,1.99
flames-of-destruction-yugioh,Flames of Destruction Booster Pack,Normal,Sealed,Common / Short Print,4.0
flames-of-destruction-yugioh,Vampire Sucker,1st Edition,Heavily Played,Secret Rare,0.98
flames-of-destruction-yugioh,Knightmare Corruptor Iblee,1st Edition,Heavily Played,Secret Rare,1.0
flames-of-destruction-yugioh,Knightmare Unicorn,Unlimited,Moderately Played,Secret Rare,0.9
flames-of-destruction-yugioh,Topologic Trisbaena,1st Edition,Near Mint,Secret Rare,0.94
flames-of-destruction-yugioh,Network Trap Hole,Unlimited,Lightly Played,Ultra Rare,0.43
flames-of-destruction-yugioh,Called by the Grave,Unlimited,Heavily Played,Common / Short Print,0.46
flames-of-destruction-yugioh,Knightmare Cerberus,1st Edition,Damaged,Super Rare,0.52
flames-of-destruction-yugioh,Batteryman Solar,1st Edition,Heavily Played,Common / Short Print,0.23
flames-of-destruction-yugioh,Altergeist Multifaker,Unlimited,Lightly Played,Ultra Rare,0.12
flames-of-destruction-yugioh,Super Team Buddy Force Unite!,Unlimited,Lightly Played,Secret Rare,0.47
flames-of-destruction-yugioh,Trickstar Bella Madonna,Unlimited,Moderately Played,Ultra Rare,0.31
flames-of-destruction-yugioh,Palace of the Elemental Lords,1st Edition,Heavily Played,Ultra Rare,0.3
flames-of-destruction-yugioh,Elementsaber Molehu,Unlimited,Lightly Played,Ultra Rare,0.32
flames-of-destruction-yugioh,The Sanctified Darklord,Unlimited,Heavily Played,Rare,0.05
flames-of-destruction-yugioh,Elementsaber Makani,1st Edition,Heavily Played,Ultra Rare,0.05
flames-of-destruction-yugioh,Knightmare Phoenix,Unlimited,Moderately Played,Super Rare,0.15
flames-of-destruction-yugioh,Red Hared Hasty Horse,Unlimited,Moderately Played,Common / Short Print,0.25
flames-of-destruction-yugioh,Moulinglacia the Elemental Lord,Limited,Heavily Played,Super Rare,0.23
flames-of-destruction-yugioh,F.A. Overheat,1st Edition,Near Mint,Rare,0.1
flames-of-destruction-yugioh,Trickstar Delfiendium,Unlimited,Moderately Played,Rare,0.16
flames-of-destruction-yugioh,Trickstar Rhodode,Unlimited,Moderately Played,Super Rare,0.2
flames-of-destruction-yugioh,Iron Dragon Tiamaton,Unlimited,Lightly Played,Ultra Rare,0.19
flames-of-destruction-yugioh,Elemental Training,1st Edition,Heavily Played,Ultra Rare,0.1
flames-of-destruction-yugioh,Knightmare Mermaid,Unlimited,Heavily Played,Rare,0.13
flames-of-destruction-yugioh,Trickstar Bouquet,1st Edition,Moderately Played,Rare,0.19
flames-of-destruction-yugioh,Watch Cat,Unlimited,Heavily Played,Common / Short Print,0.05
flames-of-destruction-yugioh,Link Bound,1st Edition,Lightly Played,Super Rare,0.11
flames-of-destruction-yugioh,Monster Reborn Reborn (FLOD-ENSP1),Limited,Moderately Played,Ultra Rare,0.18
flames-of-destruction-yugioh,Trickstar Light Arena,Unlimited,Moderately Played,Rare,0.12
flames-of-destruction-yugioh,Elementsaber Aina,1st Edition,Moderately Played,Common / Short Print,0.07
flames-of-destruction-yugioh,World Legacy's Memory,Limited,Damaged,Super Rare,0.01
flames-of-destruction-yugioh,Trickstar Bloom,1st Edition,Moderately Played,Common / Short Print,0.11
flames-of-destruction-yugioh,Sekka's Light,1st Edition,Lightly Played,Rare,0.16
flames-of-destruction-yugioh,F.A. Dark Dragster,1st Edition,Near Mint,Rare,0.12
flames-of-destruction-yugioh,Wind-Up Zenmaintenance,1st Edition,Heavily Played,Super Rare,0.1
flames-of-destruction-yugioh,Waking the Dragon,Unlimited,Lightly Played,Common / Short Print,0.1
flames-of-destruction-yugioh,Gergonne's End,Unlimited,Lightly Played,Common / Short Print,0.01
flames-of-destruction-yugioh,Red Reboot,1st Edition,Moderately Played,Super Rare,0.2
flames-of-destruction-yugioh,Degrade Buster,Unlimited,Heavily Played,Super Rare,0.05
flames-of-destruction-yugioh,Heartless Drop Off,1st Edition,Moderately Played,Rare,0.05
flames-of-destruction-yugioh,Vendread Anima,1st Edition,Moderately Played,Rare,0.14
flames-of-destruction-yugioh,Flower Cardian Moonflowerviewing,1st Edition,Moderately Played,Common / Short Print,0.01
flames-of-destruction-yugioh,World Legacy's Sorrow,Unlimited,Moderately Played,Super Rare,0.13
flames-of-destruction-yugioh,Altergeist Kidolga,1st Edition,Moderately Played,Common / Short Print,0.03
flames-of-destruction-yugioh,Gouki The Master Ogre,Unlimited,Moderately Played,Super Rare,0.13
flames-of-destruction-yugioh,Revendread Evolution,Unlimited,Heavily Played,Common / Short Print,0.1
flames-of-destruction-yugioh,Trickstar Nightshade,Unlimited,Moderately Played,Common / Short Print,0.09
flames-of-destruction-yugioh,Universal Adapter,Limited,Lightly Played,Super Rare,0.11
flames-of-destruction-yugioh,Phosphorage the Elemental Lord,1st Edition,Lightly Played,Super Rare,0.1
flames-of-destruction-yugioh,World Legacy Awakens,1st Edition,Lightly Played,Rare,0.11
flames-of-destruction-yugioh,Fire Fighting Daruma Doll,Unlimited,Moderately Played,Rare,0.16
flames-of-destruction-yugioh,Backup Operator,Unlimited,Lightly Played,Rare,0.08
flames-of-destruction-yugioh,Monster Reborn Reborn,1st Edition,Damaged,Common / Short Print,0.08
flames-of-destruction-yugioh,Kai-Den Kendo Spirit,Unlimited,Heavily Played,Common / Short Print,0.08
flames-of-destruction-yugioh,Shaddoll Construct,Unlimited,Lightly Played,Common / Short Print,0.06
flames-of-destruction-yugioh,"World Legacy - ""World Lance""",1st Edition,Near Mint,Rare,0.02
flames-of-destruction-yugioh,Altergeist Emulatelf,Unlimited,Heavily Played,Common / Short Print,0.08
flames-of-destruction-yugioh,Mekk-Knight Avram,1st Edition,Lightly Played,Common / Short Print,0.12
flames-of-destruction-yugioh,Gouki Face Turn,1st Edition,Lightly Played,Rare,0.19
flames-of-destruction-yugioh,Elementsaber Nalu,1st Edition,Moderately Played,Super Rare,0.05
flames-of-destruction-yugioh,Madolche Fresh Sistart,Unlimited,Heavily Played,Common / Short Print,0.05
flames-of-destruction-yugioh,Gouki Octostretch,Unlimited,Heavily Played,Common / Short Print,0.08
flames-of-destruction-yugioh,Revendread Executor,1st Edition,Near Mint,Rare,0.17
flames-of-destruction-yugioh,F.A. Winners,Unlimited,Near Mint,Rare,0.14
flames-of-destruction-yugioh,Elementsaber Lapauila,Unlimited,Near Mint,Super Rare,0.13
flames-of-destruction-yugioh,Trickstar Mandrake,1st Edition,Moderately Played,Common / Short Print,0.1
flames-of-destruction-yugioh,Grandsoil the Elemental Lord,Limited,Moderately Played,Super Rare,0.1
flames-of-destruction-yugioh,Vendread Nightmare,1st Edition,Moderately Played,Common / Short Print,0.01
flames-of-destruction-yugioh,Restoration of the Monarchs,Unlimited,Lightly Played,Common / Short Print,0.04
flames-of-destruction-yugioh,Inzektor Picofalena,Unlimited,Heavily Played,Common / Short Print,0.07
flames-of-destruction-yugioh,Elementsaber Lapauila Mana,1st Edition,Heavily Played,Super Rare,0.05
flames-of-destruction-yugioh,Rainbow Refraction,Unlimited,Moderately Played,Super Rare,0.03
flames-of-destruction-yugioh,Defrag Dragon,1st Edition,Moderately Played,Common / Short Print,0.05
flames-of-destruction-yugioh,Altergeist Pixiel,1st Edition,Lightly Played,Common / Short Print,0.04
flames-of-destruction-yugioh,Limit Code,Unlimited,Lightly Played,Common / Short Print,0.05
flames-of-destruction-yugioh,Vendread Daybreak,1st Edition,Moderately Played,Common / Short Print,0.01
flames-of-destruction-yugioh,Tindangle Trinity,1st Edition,Lightly Played,Common / Short Print,0.03
flames-of-destruction-yugioh,Yajiro Invader,Unlimited,Lightly Played,Common / Short Print,0.02
flames-of-destruction-yugioh,World Legacy Struggle,1st Edition,Lightly Played,Rare,0.05
flames-of-destruction-yugioh,Gouki Bearhug,Unlimited,Lightly Played,Common / Short Print,0.07
flames-of-destruction-yugioh,Greatfly,1st Edition,Lightly Played,Rare,0.09
flames-of-destruction-yugioh,Crystal Conclave,Unlimited,Lightly Played,Common / Short Print,0.01
flames-of-destruction-yugioh,Protron,Unlimited,Lightly Played,Common / Short Print,0.05
flames-of-destruction-yugioh,Elementsaber Malo,1st Edition,Lightly Played,Common / Short Print,0.06
flames-of-destruction-yugioh,Boycotton,Unlimited,Lightly Played,Common / Short Print,0.03
flames-of-destruction-yugioh,World Legacy's Corruption,Unlimited,Moderately Played,Common / Short Print,0.03
flames-of-destruction-yugioh,Staring Contest,Unlimited,Damaged,Common / Short Print,0.02
flames-of-destruction-yugioh,Space Insulator,1st Edition,Lightly Played,Common / Short Print,0.01
flames-of-destruction-yugioh,Link Streamer,Unlimited,Lightly Played,Common / Short Print,0.03
flames-of-destruction-yugioh,Crystal Keeper,Unlimited,Lightly Played,Common / Short Print,0.05
flames-of-destruction-yugioh,Three Trolling Trolls,Unlimited,Near Mint,Common / Short Print,0.06
flames-of-destruction-yugioh,World Legacy's Nightmare,1st Edition,Lightly Played,Common / Short Print,0.05
flames-of-destruction-yugioh,F.A. Dead Heat,1st Edition,Lightly Played,Common / Short Print,0.01
flames-of-destruction-yugioh,Cybersal Cyclone,Unlimited,Near Mint,Common / Short Print,0.07
flames-of-destruction-yugioh,Crystal Master,Unlimited,Lightly Played,Common / Short Print,0.02
flames-of-destruction-yugioh,Trancefamiliar,1st Edition,Lightly Played,Common / Short Print,0.04
flames-of-destruction-yugioh,Prompthorn,1st Edition,Lightly Played,Common / Short Print,0.04
flames-of-destruction-yugioh,Background Dragon,1st Edition,Lightly Played,Common / Short Print,0.03
flames-of-destruction-yugioh,Mamemaki,1st Edition,Lightly Played,Common / Short Print,0.04
