name,set_name,desc,attribute,race,archetype,atk,def,level,linkval,price_market,price_tier
Lava Golem,Legendary Collection 4: Joey's World Mega Pack,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Duelist Pack: Battle City,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Hidden Arsenal: Chapter 1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Structure Deck: Shaddoll Showdown,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Structure Deck: Marik (TCG),"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Dark Revelation Volume 1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Invasion of Chaos: Special Edition,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Retro Pack 2,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,25th Anniversary Rarity Collection,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,25th Anniversary Rarity Collection,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
