set,name,variant,condition,rarity,price
magnificent-mavens-yugioh,Dark Magician Girl (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,1000.0
magnificent-mavens-yugioh,Blue-Eyes White Dragon (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,549.95
magnificent-mavens-yugioh,Dark Magician Girl (Secret Pharaoh's Rare),1st Edition,Lightly Played,Secret Pharaoh’s Rare,350.0
magnificent-mavens-yugioh,Blue-Eyes White Dragon (Secret Pharaoh's Rare),1st Edition,Moderately Played,Secret Pharaoh’s Rare,329.95
magnificent-mavens-yugioh,Gold Sarcophagus (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,283.99
magnificent-mavens-yugioh,Red-Eyes Black Dragon (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,248.98
magnificent-mavens-yugioh,Mirror Force (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,237.62
magnificent-mavens-yugioh,Black Luster Soldier - Soldier of Chaos (Ultra Pharaoh's Rare),1st Edition,Lightly Played,Ultra Pharaoh’s Rare,52.14
magnificent-mavens-yugioh,Elemental HERO Neos (Ultra Pharaoh's Rare),1st Edition,Lightly Played,Ultra Pharaoh’s Rare,140.0
magnificent-mavens-yugioh,Reinforcement of the Army (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,169.35
magnificent-mavens-yugioh,Red-Eyes Black Dragon (Secret Pharaoh's Rare),1st Edition,Lightly Played,Secret Pharaoh’s Rare,41.96
magnificent-mavens-yugioh,Triple Tactics Talent (Ultra Pharaoh's Rare),1st Edition,Lightly Played,Ultra Pharaoh’s Rare,119.0
magnificent-mavens-yugioh,Change of Heart (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,135.44
magnificent-mavens-yugioh,Millennium-Eyes Restrict (Ultra Pharaoh's Rare),1st Edition,Moderately Played,Ultra Pharaoh’s Rare,44.95
magnificent-mavens-yugioh,Necrovalley (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,124.94
magnificent-mavens-yugioh,The Seal of Orichalcos (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,111.77
magnificent-mavens-yugioh,Toon Kingdom (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,99.95
magnificent-mavens-yugioh,Elemental HERO Neos (Secret Pharaoh's Rare),1st Edition,Near Mint,Secret Pharaoh’s Rare,75.78
magnificent-mavens-yugioh,Triple Tactics Talent (Secret Pharaoh's Rare),1st Edition,Moderately Played,Secret Pharaoh’s Rare,55.99
magnificent-mavens-yugioh,Gold Sarcophagus (Secret Pharaoh's Rare),1st Edition,Lightly Played,Secret Pharaoh’s Rare,51.53
magnificent-mavens-yugioh,Change of Heart (Secret Pharaoh's Rare),1st Edition,Near Mint,Secret Pharaoh’s Rare,71.84
magnificent-mavens-yugioh,Crystal Bond (Ultra Pharaoh's Rare),1st Edition,Near Mint,Ultra Pharaoh’s Rare,75.27
magnificent-mavens-yugioh,Millennium-Eyes Restrict (Secret Pharaoh's Rare),1st Edition,Lightly Played,Secret Pharaoh’s Rare,59.0
