set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Magnificent Mavens,Dark Magician Girl (Ultra Pharaoh's Rare),1000.0,Ultra Pharaoh’s Rare,1st Edition,Near Mint,dark magician girl ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Blue-Eyes White Dragon (Ultra Pharaoh's Rare),549.95,Ultra Pharaoh’s Rare,1st Edition,Near Mint,blueeyes white dragon ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Dark Magician Girl (Secret Pharaoh's Rare),350.0,Secret Pharaoh’s Rare,1st Edition,Lightly Played,dark magician girl secret pharaohs rare,magnificent mavens
Magnificent Mavens,Blue-Eyes White Dragon (Secret Pharaoh's Rare),329.95,Secret Pharaoh’s Rare,1st Edition,Moderately Played,blueeyes white dragon secret pharaohs rare,magnificent mavens
Magnificent Mavens,Gold Sarcophagus (Ultra Pharaoh's Rare),283.99,Ultra Pharaoh’s Rare,1st Edition,Near Mint,gold sarcophagus ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Red-Eyes Black Dragon (Ultra Pharaoh's Rare),248.98,Ultra Pharaoh’s Rare,1st Edition,Near Mint,redeyes black dragon ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Mirror Force (Ultra Pharaoh's Rare),237.62,Ultra Pharaoh’s Rare,1st Edition,Near Mint,mirror force ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Reinforcement of the Army (Ultra Pharaoh's Rare),169.35,Ultra Pharaoh’s Rare,1st Edition,Near Mint,reinforcement of the army ultra pharaohs rare,magnificent mavens
Shadows in Valhalla,Shadows in Valhalla Booster Box,146.66,,Normal,Sealed,shadows in valhalla booster box,shadows in valhalla
Magnificent Mavens,Elemental HERO Neos (Ultra Pharaoh's Rare),140.0,Ultra Pharaoh’s Rare,1st Edition,Lightly Played,elemental hero neos ultra pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,25th Anniversary Rarity Collection Booster Box,136.97,,Normal,Sealed,25th anniversary rarity collection booster box,25th anniversary rarity collection
Magnificent Mavens,Change of Heart (Ultra Pharaoh's Rare),135.44,Ultra Pharaoh’s Rare,1st Edition,Near Mint,change of heart ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Necrovalley (Ultra Pharaoh's Rare),124.94,Ultra Pharaoh’s Rare,1st Edition,Near Mint,necrovalley ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Triple Tactics Talent (Ultra Pharaoh's Rare),119.0,Ultra Pharaoh’s Rare,1st Edition,Lightly Played,triple tactics talent ultra pharaohs rare,magnificent mavens
Magnificent Mavens,The Seal of Orichalcos (Ultra Pharaoh's Rare),111.77,Ultra Pharaoh’s Rare,1st Edition,Near Mint,the seal of orichalcos ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Toon Kingdom (Ultra Pharaoh's Rare),99.95,Ultra Pharaoh’s Rare,1st Edition,Near Mint,toon kingdom ultra pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring (Quarter Century Secret Rare),85.7,Quarter Century Secret Rare,1st Edition,Near Mint,ash blossom  joyous spring quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,25th Anniversary Rarity Collection Booster Box (Retail Exclusive),85.28,,Normal,Sealed,25th anniversary rarity collection booster box retail exclusive,25th anniversary rarity collection
Flames of Destruction,Flames of Destruction Booster Box,84.99,,Normal,Sealed,flames of destruction booster box,flames of destruction
Duel Power,Duel Power Box Set,79.73,,Normal,Sealed,duel power box set,duel power
Magnificent Mavens,Elemental HERO Neos (Secret Pharaoh's Rare),75.78,Secret Pharaoh’s Rare,1st Edition,Near Mint,elemental hero neos secret pharaohs rare,magnificent mavens
Magnificent Mavens,Crystal Bond (Ultra Pharaoh's Rare),75.27,Ultra Pharaoh’s Rare,1st Edition,Near Mint,crystal bond ultra pharaohs rare,magnificent mavens
Duel Devastator,Duel Devastator Box,74.79,,Normal,Sealed,duel devastator box,duel devastator
Magnificent Mavens,Change of Heart (Secret Pharaoh's Rare),71.84,Secret Pharaoh’s Rare,1st Edition,Near Mint,change of heart secret pharaohs rare,magnificent mavens
Magnificent Mavens,Mirror Force (Secret Pharaoh's Rare),59.46,Secret Pharaoh’s Rare,1st Edition,Lightly Played,mirror force secret pharaohs rare,magnificent mavens
Magnificent Mavens,Millennium-Eyes Restrict (Secret Pharaoh's Rare),59.0,Secret Pharaoh’s Rare,1st Edition,Lightly Played,millenniumeyes restrict secret pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Infinite Impermanence (Quarter Century Secret Rare),56.99,Quarter Century Secret Rare,1st Edition,Near Mint,infinite impermanence quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,Triple Tactics Talent (Secret Pharaoh's Rare),55.99,Secret Pharaoh’s Rare,1st Edition,Moderately Played,triple tactics talent secret pharaohs rare,magnificent mavens
Magnificent Mavens,Black Luster Soldier - Soldier of Chaos (Ultra Pharaoh's Rare),52.14,Ultra Pharaoh’s Rare,1st Edition,Lightly Played,black luster soldier  soldier of chaos ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Gold Sarcophagus (Secret Pharaoh's Rare),51.53,Secret Pharaoh’s Rare,1st Edition,Lightly Played,gold sarcophagus secret pharaohs rare,magnificent mavens
Magnificent Mavens,Toon Kingdom (Secret Pharaoh's Rare),49.86,Secret Pharaoh’s Rare,1st Edition,Near Mint,toon kingdom secret pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Forbidden Droplet (Quarter Century Secret Rare),48.56,Quarter Century Secret Rare,1st Edition,Near Mint,forbidden droplet quarter century secret rare,25th anniversary rarity collection
