set_slug,name,variant,condition,rarity,price_market,set_name_map
25th-anniversary-rarity-collection-yugioh,Ash Blossom & Joyous Spring (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,85.7,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,25th Anniversary Rarity Collection Booster Box,Normal,Sealed,,136.97,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Infinite Impermanence (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,56.99,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,25th Anniversary Rarity Collection Booster Box (Retail Exclusive),Normal,Sealed,,85.28,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Effect Veiler (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,42.93,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Forbidden Droplet (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,48.56,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Triple Tactics Talent (Quarter Century Secret Rare),1st Edition,Heavily Played,Quarter Century Secret Rare,35.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Artifact Lancea (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,16.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Ghost Belle & Haunted Mansion (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,12.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Called by the Grave (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,32.81,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,"Nibiru, the Primal Being (Quarter Century Secret Rare)",1st Edition,Moderately Played,Quarter Century Secret Rare,36.99,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Evenly Matched (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,25.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Lightning Storm (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,19.95,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Dark Ruler No More (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,27.84,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Reinforcement of the Army (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,3.6,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Dimension Shifter (Quarter Century Secret Rare),1st Edition,Heavily Played,Quarter Century Secret Rare,6.51,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Dimensional Barrier (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,19.8,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Herald of the Arc Light (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,10.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Pot of Prosperity (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,14.99,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Masked HERO Dark Law (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,14.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Nadir Servant (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,17.5,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Mudragon of the Swamp (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,2.5,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Compulsory Evacuation Device (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,8.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Ancient Fairy Dragon (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,13.07,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Pre-Preparation of Rites (Quarter Century Secret Rare),1st Edition,Lightly Played,Quarter Century Secret Rare,17.09,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Lava Golem (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,12.0,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Borreload Savage Dragon (Quarter Century Secret Rare),1st Edition,Lightly Played,Quarter Century Secret Rare,9.94,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Baronne de Fleur (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,15.17,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Infinite Impermanence (PCR),1st Edition,Near Mint,Prismatic Collector's Rare,9.36,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Fallen of Albaz (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,15.95,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Pot of Desires (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,8.97,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Pot of Extravagance (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,9.99,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,"Artemis, the Magistus Moon Maiden (Quarter Century Secret Rare)",1st Edition,Moderately Played,Quarter Century Secret Rare,9.99,25th Anniversary Rarity Collection
25th-anniversary-rarity-collection-yugioh,Change of Heart (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,10.65,25th Anniversary Rarity Collection
