set,name,variant,condition,rarity,price
shadows-in-valhalla-yugioh,Shadows in Valhalla Booster Box,Normal,Sealed,,146.66
shadows-in-valhalla-yugioh,Valkyrie Brunhilde,1st Edition,Damaged,Secret Rare,1.0
shadows-in-valhalla-yugioh,Ride of the Valkyries,1st Edition,Heavily Played,Secret Rare,0.75
shadows-in-valhalla-yugioh,Mischief of the Time Goddess,1st Edition,Damaged,Secret Rare,1.0
shadows-in-valhalla-yugioh,Shadows in Valhalla Booster Pack,Normal,Sealed,,7.96
shadows-in-valhalla-yugioh,Ash Blossom & Joyous Spring,1st Edition,Heavily Played,Super Rare,0.75
shadows-in-valhalla-yugioh,Gateway to Chaos,1st Edition,Lightly Played,Secret Rare,1.71
shadows-in-valhalla-yugioh,Shaddoll Fusion,1st Edition,Heavily Played,Secret Rare,1.05
shadows-in-valhalla-yugioh,Ninja Grandmaster Saizo,1st Edition,Near Mint,Secret Rare,2.54
shadows-in-valhalla-yugioh,Aleister the Invoker,1st Edition,Near Mint,Secret Rare,0.9
shadows-in-valhalla-yugioh,Magical Meltdown,1st Edition,Heavily Played,Super Rare,0.82
shadows-in-valhalla-yugioh,Invocation,1st Edition,Damaged,Super Rare,0.5
shadows-in-valhalla-yugioh,Akashic Magician,1st Edition,Heavily Played,Super Rare,0.5
shadows-in-valhalla-yugioh,Aleister the Invoker of Madness,1st Edition,Damaged,Secret Rare,0.49
shadows-in-valhalla-yugioh,Outer Entity Nyarla,1st Edition,Heavily Played,Secret Rare,0.51
shadows-in-valhalla-yugioh,Elemental HERO Magma Neos,1st Edition,Heavily Played,Super Rare,0.15
shadows-in-valhalla-yugioh,Gem-Knight Seraphinite,1st Edition,Heavily Played,Secret Rare,0.48
shadows-in-valhalla-yugioh,Invoked Mechaba,1st Edition,Heavily Played,Super Rare,0.28
shadows-in-valhalla-yugioh,El Shaddoll Winda,1st Edition,Damaged,Secret Rare,0.25
shadows-in-valhalla-yugioh,Outer Entity Azathot,1st Edition,Heavily Played,Secret Rare,0.25
shadows-in-valhalla-yugioh,Old Entity Cthugua,1st Edition,Damaged,Secret Rare,0.21
shadows-in-valhalla-yugioh,Twin Twisters,1st Edition,Damaged,Secret Rare,0.28
shadows-in-valhalla-yugioh,Yellow Ninja,1st Edition,Near Mint,Super Rare,0.48
shadows-in-valhalla-yugioh,Mist Valley Apex Avian,1st Edition,Moderately Played,Super Rare,0.25
shadows-in-valhalla-yugioh,Hi-Speedroid Chanbara,1st Edition,Moderately Played,Super Rare,0.17
