set,name,variant,condition,rarity,price
supreme-darkness-yugioh,Mulcharmy Meowls (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,148.86
supreme-darkness-yugioh,Primite Dragon Ether Beryl (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,113.92
supreme-darkness-yugioh,"A Bao A Qu, the Lightless Shadow (Quarter Century Secret Rare)",1st Edition,Damaged,Quarter Century Secret Rare,72.5
supreme-darkness-yugioh,Paladins of Bonds and Unity,1st Edition,Lightly Played,Quarter Century Secret Rare,85.32
supreme-darkness-yugioh,Evil HERO Neos Lord (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,44.1
supreme-darkness-yugioh,Ame no Murakumo no Mitsurugi (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,34.99
supreme-darkness-yugioh,"Elzette, Azamina of the White Forest (Quarter Century Secret Rare)",1st Edition,Damaged,Quarter Century Secret Rare,19.98
supreme-darkness-yugioh,Mitsurugi Ritual (Quarter Century Secret Rare),1st Edition,Lightly Played,Quarter Century Secret Rare,59.95
supreme-darkness-yugioh,"Poseidra, the Storming Atlantean (Quarter Century Secret Rare)",1st Edition,Damaged,Quarter Century Secret Rare,39.99
supreme-darkness-yugioh,Snake-Eyes Doomed Dragon (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,41.14
supreme-darkness-yugioh,Supreme Darkness Booster Box [1st Edition],Normal,Sealed,,43.43
supreme-darkness-yugioh,Clockwork Knight (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,34.21
supreme-darkness-yugioh,Evil HERO Dead-End Prison (Quarter Century Secret Rare),1st Edition,Heavily Played,Quarter Century Secret Rare,30.0
supreme-darkness-yugioh,Mulcharmy Meowls,1st Edition,Heavily Played,Secret Rare,20.5
supreme-darkness-yugioh,Fiendsmith's Rextremende (Quarter Century Secret Rare),1st Edition,Lightly Played,Quarter Century Secret Rare,15.8
supreme-darkness-yugioh,Saint Azamina (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,27.0
supreme-darkness-yugioh,Mitsurugi Ritual,1st Edition,Damaged,Ultra Rare,16.5
supreme-darkness-yugioh,Tenyi Spirit - Suruya (Quarter Century Secret Rare),1st Edition,Heavily Played,Quarter Century Secret Rare,14.0
supreme-darkness-yugioh,Argostars - Glorious Adra (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,19.64
supreme-darkness-yugioh,Supreme Darkness Booster Box [1st Edition] Mini Box (Retail Exclusive),Normal,Sealed,,24.62
supreme-darkness-yugioh,Crystal Clear Wing Over Synchro Dragon (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,19.36
supreme-darkness-yugioh,"A Bao A Qu, the Lightless Shadow",1st Edition,Heavily Played,Secret Rare,5.99
supreme-darkness-yugioh,Primite Dragon Ether Beryl,1st Edition,Damaged,Ultra Rare,4.0
supreme-darkness-yugioh,Evil HERO Toxic Bubble (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,12.0
supreme-darkness-yugioh,Queen Azamina (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,12.1
supreme-darkness-yugioh,Metalflame Swordsman (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,16.44
supreme-darkness-yugioh,Snake-Eyes Doomed Dragon,1st Edition,Moderately Played,Secret Rare,6.77
supreme-darkness-yugioh,Tenyi Spirit - Mula Adhara (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,12.0
supreme-darkness-yugioh,Liberator Eto (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,8.15
supreme-darkness-yugioh,"Elzette, Azamina of the White Forest",1st Edition,Heavily Played,Secret Rare,3.76
supreme-darkness-yugioh,Argostars - Lightning Tydeu (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,9.0
supreme-darkness-yugioh,Ame no Murakumo no Mitsurugi,1st Edition,Damaged,Ultra Rare,3.75
supreme-darkness-yugioh,Test Bear (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,7.09
supreme-darkness-yugioh,Clockwork Knight,1st Edition,Heavily Played,Ultra Rare,4.05
supreme-darkness-yugioh,Tenyi Spirit - Suruya,1st Edition,Lightly Played,Secret Rare,5.91
supreme-darkness-yugioh,Token: Kaiba & Blue-Eyes Ultimate Dragon,Unlimited,Damaged,Super Rare,3.75
